date_time,departure_city,departure_iata_code,arrival_city,destination_iata_code,departure_date_time,arrival_date_time,flight_duration,carrier_name,agent_name,flight_number,price,prev_price_1,prev_price_2,prev_price_3
2020-02-11 14:13:28.182336,Geneva,GVA,Budapest,BUD,2020-03-13 17:40:00.000000,2020-03-13 19:30:00.000000,110,easyJet,easyJet,1335,2259.14,1610,0,0
2020-02-11 14:13:28.182336,Geneva,GVA,Budapest,BUD,2020-03-16 17:35:00.000000,2020-03-16 19:25:00.000000,110,easyJet,easyJet,1335,1532.91,1610,0,0
2020-02-11 12:30:30.345075,Sofia,SOF,Edinburgh,EDI,2020-03-10 19:10:00.000000,2020-03-10 20:55:00.000000,225,easyJet,easyJet,6986,1269.5,1637,0,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,BRU,2020-03-22 10:05:00.000000,2020-03-22 12:30:00.000000,145,Ryanair,Ryanair,2944,1397.33,0,0,0
2020-02-11 12:30:30.345075,Sofia,SOF,kopenhagen,CPH,2020-03-22 15:05:00.000000,2020-03-22 16:55:00.000000,170,Wizz Air,Wizz Air,4377,679.26,0,0,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-16 10:00:00.000000,2020-03-16 10:20:00.000000,80,easyJet,easyJet,7612,778.56,741,759,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-16 17:25:00.000000,2020-03-16 17:45:00.000000,80,easyJet,easyJet,7616,738.28,741,759,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-13 21:50:00.000000,2020-03-13 22:10:00.000000,80,easyJet,easyJet,7618,926.27,1118,953,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-10 17:40:00.000000,2020-03-10 18:00:00.000000,80,easyJet,easyJet,7616,1181.41,997,1022,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-10 10:00:00.000000,2020-03-10 10:20:00.000000,80,easyJet,easyJet,7612,778.56,1118,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-19 21:00:00.000000,2020-03-19 22:20:00.000000,80,easyJet,easyJet,1538,617.43,619,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-16 17:20:00.000000,2020-03-16 18:35:00.000000,75,easyJet,easyJet,1536,1181.41,1216,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-16 21:00:00.000000,2020-03-16 22:20:00.000000,80,easyJet,easyJet,1538,657.71,677,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-13 08:30:00.000000,2020-03-13 09:50:00.000000,80,easyJet,easyJet,1534,1355.97,1361,1798,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-10 21:00:00.000000,2020-03-10 22:20:00.000000,80,easyJet,easyJet,1538,590.56,592,677,0
2020-02-11 12:30:30.345075,Sofia,SOF,kopenhagen,CPH,2020-03-19 15:05:00.000000,2020-03-19 16:55:00.000000,170,Wizz Air,Wizz Air,4377,658.97,0,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-10 17:20:00.000000,2020-03-10 18:35:00.000000,75,easyJet,easyJet,1536,590.56,592,677,0
2020-02-11 12:12:53.643827,Prague,PRG,kopenhagen,CPH,2020-03-13 09:00:00.000000,2020-03-13 10:25:00.000000,85,Ryanair,Ryanair,8220,1093.51,910,922,0
2020-02-11 06:38:18.573567,Istanbul,IST,Amsterdam,AMS,2020-03-16 17:55:00.000000,2020-03-16 19:35:00.000000,220,KLM,KLM,1614,2403.34,2470,0,0
2020-02-11 12:12:53.643827,Prague,PRG,kopenhagen,CPH,2020-03-22 10:55:00.000000,2020-03-22 12:15:00.000000,80,Norwegian,Norwegian,3581,2246.21,0,0,0
2020-02-11 13:08:31.927441,Venice,VCE,Amsterdam,AMS,2020-03-07 07:00:00.000000,2020-03-07 09:00:00.000000,120,easyJet,easyJet,3331,1933.38,2290,2349,0
2020-02-11 09:14:17.744283,Paris,CDG,Vienna,VIE,2020-03-22 09:45:00.000000,2020-03-22 11:40:00.000000,115,LEVEL,Vueling Airlines,2001,1611.1,0,0,0
2020-02-11 09:14:17.744283,Paris,BVA,Vienna,VIE,2020-03-22 15:35:00.000000,2020-03-22 17:20:00.000000,105,Laudamotion,Ryanair,325,1745.38,0,0,0
2020-02-11 13:08:31.927441,Venice,VCE,Amsterdam,AMS,2020-03-04 13:15:00.000000,2020-03-04 15:15:00.000000,120,easyJet,easyJet,3331,1194.83,1199,1229,0
2020-02-11 09:14:17.744283,Paris,CDG,Vienna,VIE,2020-03-19 20:55:00.000000,2020-03-19 22:55:00.000000,120,LEVEL,LEVEL,2003,1073.97,0,0,0
2020-02-11 13:35:09.341704,Amsterdam,AMS,kopenhagen,CPH,2020-03-10 16:55:00.000000,2020-03-10 18:15:00.000000,80,Norwegian,Norwegian,3541,1339.59,1344,1378,0
2020-02-11 13:08:31.927441,Venice,VCE,Amsterdam,AMS,2020-03-16 13:15:00.000000,2020-03-16 15:15:00.000000,120,easyJet,easyJet,3331,1839.38,1846,1893,0
2020-02-11 08:29:45.669621,Madrid,MAD,Vienna,VIE,2020-03-07 10:10:00.000000,2020-03-07 13:10:00.000000,180,Laudamotion,Ryanair,307,930.3,1127,1377,0
2020-02-11 09:14:17.744283,Paris,BVA,Vienna,VIE,2020-03-13 13:00:00.000000,2020-03-13 14:45:00.000000,105,Laudamotion,Ryanair,325,715.45,603,0,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-04 10:00:00.000000,2020-03-04 10:20:00.000000,80,easyJet,easyJet,7612,429.43,521,635,0
2020-02-11 13:08:31.927441,Venice,VCE,Amsterdam,AMS,2020-03-13 19:05:00.000000,2020-03-13 21:10:00.000000,125,easyJet,easyJet,3331,1664.82,1670,2031,0
2020-02-11 13:14:22.595165,Venice,VCE,Edinburgh,EDI,2020-03-13 11:45:00.000000,2020-03-13 13:40:00.000000,175,easyJet,easyJet,3385,2121.37,2237,0,0
2020-02-11 13:35:09.341704,Amsterdam,AMS,kopenhagen,CPH,2020-03-19 16:55:00.000000,2020-03-19 18:15:00.000000,80,Norwegian,Norwegian,3541,1407.17,1412,0,0
2020-02-11 06:38:18.573567,Istanbul,IST,Amsterdam,AMS,2020-03-10 17:55:00.000000,2020-03-10 19:35:00.000000,220,KLM,KLM,1614,2403.34,2399,2872,0
2020-02-11 12:53:56.902119,Belgrade,BEG,Amsterdam,AMS,2020-03-13 17:45:00.000000,2020-03-13 20:20:00.000000,155,Air Serbia,Air Serbia,364,3308.14,3416,0,0
2020-02-11 12:53:56.902119,Belgrade,BEG,Amsterdam,AMS,2020-03-13 10:20:00.000000,2020-03-13 12:55:00.000000,155,transavia,transavia,5592,1315.96,1354,0,0
2020-02-11 12:53:56.902119,Belgrade,BEG,Amsterdam,AMS,2020-03-10 06:40:00.000000,2020-03-10 09:15:00.000000,155,Air Serbia,Air Serbia,360,3737.84,3128,0,0
2020-02-11 12:53:56.902119,Belgrade,BEG,Amsterdam,AMS,2020-03-07 06:40:00.000000,2020-03-07 09:15:00.000000,155,Air Serbia,Air Serbia,360,3898.98,3927,3405,0
2020-02-11 12:53:56.902119,Belgrade,BEG,Amsterdam,AMS,2020-03-01 10:05:00.000000,2020-03-01 12:40:00.000000,155,transavia,transavia,5594,2443.91,2776,2515,0
2020-02-11 08:00:15.715464,Saint Petersburg,LED,Budapest,BUD,2020-03-13 11:15:00.000000,2020-03-13 11:55:00.000000,160,Wizz Air,Wizz Air,2466,1549.87,2764,0,0
2020-02-11 13:35:09.341704,Amsterdam,AMS,kopenhagen,CPH,2020-03-13 16:55:00.000000,2020-03-13 18:15:00.000000,80,Norwegian,Norwegian,3541,1339.59,1344,1378,0
2020-02-11 08:41:39.956512,Madrid,MAD,Lisbon,LIS,2020-03-04 17:40:00.000000,2020-03-04 18:00:00.000000,80,easyJet,easyJet,7616,617.43,649,580,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-04 21:00:00.000000,2020-03-04 22:20:00.000000,80,easyJet,easyJet,1538,590.56,592,677,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,CRL,2020-03-22 06:35:00.000000,2020-03-22 09:00:00.000000,145,Ryanair,Ryanair,5462,859.13,0,0,0
2020-02-11 12:48:02.519257,Brussels,BRU,Geneva,GVA,2020-03-04 17:20:00.000000,2020-03-04 18:35:00.000000,75,easyJet,easyJet,1536,590.56,592,677,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,BRU,2020-03-16 07:35:00.000000,2020-03-16 09:55:00.000000,140,Iberia,Iberia,3216,1120.98,1125,1153,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,CRL,2020-03-13 06:35:00.000000,2020-03-13 09:00:00.000000,145,Ryanair,Ryanair,5462,1015.17,836,858,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,BRU,2020-03-10 10:05:00.000000,2020-03-10 12:30:00.000000,145,Ryanair,Ryanair,2944,555.12,557,571,0
2020-02-11 08:35:49.608766,Madrid,MAD,Brussels,OPO,2020-03-01 10:40:00.000000,2020-03-01 11:20:00.000000,100,TAP Air Portugal,TAP Air Portugal,1007,2026.03,2033,2095,0
2020-02-11 08:09:01.320009,Berlin,TXL,Vienna,VIE,2020-03-16 06:20:00.000000,2020-03-16 07:45:00.000000,85,easyJet,easyJet,5841,627.35,0,0,0
2020-02-11 08:09:01.320009,Berlin,TXL,Vienna,VIE,2020-03-10 19:05:00.000000,2020-03-10 20:35:00.000000,90,easyJet,easyJet,5849,600.5,602,618,0
2020-02-11 08:09:01.320009,Berlin,TXL,Vienna,VIE,2020-03-10 06:20:00.000000,2020-03-10 07:45:00.000000,85,easyJet,easyJet,5841,600.5,602,618,0
2020-02-11 08:09:01.320009,Berlin,TXL,Vienna,VIE,2020-03-10 17:10:00.000000,2020-03-10 18:30:00.000000,80,easyJet,easyJet,5847,600.5,602,0,0
2020-02-11 08:09:01.320009,Berlin,TXL,Vienna,VIE,2020-03-04 06:20:00.000000,2020-03-04 07:45:00.000000,85,easyJet,easyJet,5841,600.5,602,618,0
2020-02-11 10:50:51.290478,Vienna,VIE,Belgrade,BEG,2020-03-22 21:00:00.000000,2020-03-22 22:20:00.000000,80,Air Serbia,Travel2Be,605,1936.0,0,0,0
2020-02-11 12:07:02.635595,Prague,PRG,Venice,VCE,2020-03-22 17:20:00.000000,2020-03-22 18:45:00.000000,85,easyJet,easyJet,3382,1799.1,0,0,0
2020-02-11 12:07:02.635595,Prague,PRG,Venice,VCE,2020-03-19 20:20:00.000000,2020-03-19 21:45:00.000000,85,easyJet,easyJet,3382,1695.41,1699,0,0
2020-02-11 12:07:02.635595,Prague,PRG,Venice,VCE,2020-03-16 20:10:00.000000,2020-03-16 21:35:00.000000,85,easyJet,easyJet,3382,1253.38,1198,1287,0
2020-02-11 12:07:02.635595,Prague,PRG,Venice,TSF,2020-03-13 14:15:00.000000,2020-03-13 15:30:00.000000,75,Ryanair,Ryanair,8260,860.16,862,937,0
2020-02-11 07:22:27.923208,London,LTN,Amsterdam,AMS,2020-03-22 08:20:00.000000,2020-03-22 10:45:00.000000,85,easyJet,easyJet,2151,700.14,0,0,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-19 20:40:00.000000,2020-03-19 22:25:00.000000,105,Laudamotion,Ryanair,313,191.22,191,0,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-16 09:00:00.000000,2020-03-16 10:45:00.000000,105,Laudamotion,Ryanair,309,951.79,1347,1382,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-16 20:35:00.000000,2020-03-16 22:20:00.000000,105,Laudamotion,Ryanair,313,629.51,524,648,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-13 20:20:00.000000,2020-03-13 22:05:00.000000,105,Laudamotion,Ryanair,313,951.79,782,537,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-13 08:55:00.000000,2020-03-13 10:40:00.000000,105,Laudamotion,Ryanair,309,629.51,782,802,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-07 08:25:00.000000,2020-03-07 10:20:00.000000,115,Wizz Air,Wizz Air,2818,536.86,673,690,0
2020-02-11 08:50:36.106488,Rome,FCO,Vienna,VIE,2020-03-07 10:35:00.000000,2020-03-07 12:35:00.000000,120,Wizz Air,Wizz Air,2816,469.72,943,829,0
